Ticker,Markowitz_Weight,Annual_Return,Annual_Volatility,Sharpe_Ratio
DUK,0.24488512558459613,0.1535024992963287,0.17372837991655965,0.8835775672924292
GE,0.2310992573578582,0.6718672021844396,0.28595655480109244,2.34954293197364
WMT,0.14346145356083553,0.2928396427173654,0.19893831900606052,1.4720122507340794
NVDA,0.10692971610225319,1.0419027459884187,0.51668359294001,2.0165198977188923
ABBV,0.087679945577704,0.21324503447924045,0.22749521909340323,0.9373605095045446
META,0.0840596408674476,0.7367185487516918,0.3974572617395732,1.8535792893234735
AVGO,0.0369866472068839,0.8200193678153312,0.46569602744115923,1.7608468174423946
LLY,0.026036842130043654,0.34943690372817454,0.33341068941402036,1.048067488005021
JNJ,0.021949570352019516,0.07184627143108642,0.1704139630787871,0.4215985012793224
NFLX,0.010555344904950801,0.5042787407977259,0.35227836348727637,1.4314780385765575
JPM,0.006356456364130929,0.35492896730851414,0.2294020147507276,1.5471920231136
NKE,1.1924053108925183e-15,-0.037772104051548294,0.3484321159978693,-0.10840591988305485
KO,1.094178888354794e-15,0.08983570432800976,0.148450848802904,0.605154534665432
GOOGL,9.2842624250416e-16,0.42436436746547396,0.30964020162725836,1.370507980666927
WFC,8.675013264815382e-16,0.2825839924724191,0.2881339365648127,0.9807383185800289
